Country Name,Country Code,Time,Time Code,GDP (current US$) [NY.GDP.MKTP.CD],GDP per capita (constant 2015 US$) [NY.GDP.PCAP.KD],CO2 emissions (metric tons per capita) [EN.ATM.CO2E.PC],Renewable energy consumption (% of total final energy consumption) [EG.FEC.RNEW.ZS],Access to electricity (% of population) [EG.ELC.ACCS.ZS]
Afghanistan,AFG,1997,YR1997,..,..,0.0618365952231005,41.4326008731029,..
Afghanistan,AFG,1998,YR1998,..,..,0.0562370938573304,44.0943368543633,..
Afghanistan,AFG,1999,YR1999,..,..,0.0420498589850192,52.1857743728053,..
Afghanistan,AFG,2000,YR2000,..,..,0.0388886404336861,44.99,1.61359095573425
Afghanistan,AFG,2001,YR2001,..,..,0.037077233197309,45.6,4.07457399368286
Afghanistan,AFG,2002,YR2002,3854235264.37171,359.766342668484,0.0490470197787003,37.83,9.40915775299072
Afghanistan,AFG,2003,YR2003,4539500884.0479,363.101481459528,0.0538747195803349,36.66,14.7385063171387
Afghanistan,AFG,2004,YR2004,5220823684.66085,354.033912870345,0.0437301352730113,44.24,20.0649681091309
Afghanistan,AFG,2005,YR2005,6226199249.32211,379.955829325586,0.063495466170261,33.88,25.3908939361572
Afghanistan,AFG,2006,YR2006,6971379033.26327,384.078305241572,0.0691743844762328,31.89,30.7186908721924
Afghanistan,AFG,2007,YR2007,9715761649.79443,429.412537341828,0.0683310586911881,28.78,36.0510101318359
Afghanistan,AFG,2008,YR2008,10249767311.213,437.420026808226,0.134709695975708,21.17,42.4000015258789
Afghanistan,AFG,2009,YR2009,12154835707.8987,512.409279249256,0.178197750875713,16.53,46.7400512695313
Afghanistan,AFG,2010,YR2010,15633856787.0425,569.282712026308,0.252220037661822,15.15,42.7000007629395
Afghanistan,AFG,2011,YR2011,18190410820.6235,551.000970270826,0.305307954864333,12.61,43.2220191955566
Afghanistan,AFG,2012,YR2012,20203572959.5023,596.4428151196,0.265209508578463,15.36,69.0999984741211
Afghanistan,AFG,2013,YR2013,20564485419.1684,608.386714575999,0.189910278046671,16.86,68.2906494140625
Afghanistan,AFG,2014,YR2014,20550582746.8448,602.516979299112,0.149161535350241,18.93,89.5
Afghanistan,AFG,2015,YR2015,19998156214.3988,592.476537451681,0.176278015184889,17.53,71.5
Afghanistan,AFG,2016,YR2016,18019558181.9602,590.427738791141,0.15301907020982,19.92,97.6999969482422
Afghanistan,AFG,2017,YR2017,18896352021.94,588.930450759474,0.134106112096442,19.21,97.6999969482422
Afghanistan,AFG,2018,YR2018,18418848299.5825,578.985909020837,0.165454681763912,17.96,96.6161346435547
Afghanistan,AFG,2019,YR2019,18904490262.913,584.386882896106,0.160976451493467,18.51,97.6999969482422
Albania,ALB,1997,YR1997,2258513974.0968,1464.29757891877,0.466921472384454,55.953349416169,100
Albania,ALB,1998,YR1998,2545964540.88383,1603.64723014585,0.572153695185918,49.9833654433978,100
Albania,ALB,1999,YR1999,3212121650.97755,1821.87265372461,0.955359308384195,42.7183134087746,100
Albania,ALB,2000,YR2000,3480355258.04122,1960.88194602054,1.026213108529,41.36,100
Albania,ALB,2001,YR2001,3922100793.5403,2143.52627790757,1.05549588209555,39.04,100
Albania,ALB,2002,YR2002,4348068242.19512,2247.49749129938,1.23237878291558,35.82,100
Albania,ALB,2003,YR2003,5611496257.14231,2380.64399709539,1.3389849808862,33.67,100
Albania,ALB,2004,YR2004,7184685781.51876,2522.44871361971,1.40405868767094,35.84,100
Albania,ALB,2005,YR2005,8052073539.38058,2675.50793615524,1.33820939947885,36.77,100
Albania,ALB,2006,YR2006,8896072918.9814,2851.36701218575,1.33999573904164,31.62,100
Albania,ALB,2007,YR2007,10677324144.4289,3044.89581910515,1.3939313702533,32,100
Albania,ALB,2008,YR2008,12881353507.8539,3298.47804428531,1.38431124871868,35.79,100
Albania,ALB,2009,YR2009,12044208085.864,3432.16997279698,1.44149356167856,37.09,100
Albania,ALB,2010,YR2010,11926922828.9911,3577.11338784054,1.52762366260495,36.99,100
Albania,ALB,2011,YR2011,12890764531.3284,3678.04673786035,1.66942319005525,35.84,100
Albania,ALB,2012,YR2012,12319830437.3467,3736.33910071368,1.50324046003101,39.91,99.9000015258789
Albania,ALB,2013,YR2013,12776220507.0162,3780.69820205676,1.53363003912154,41.14,100
Albania,ALB,2014,YR2014,13228147516.1168,3855.75973394744,1.66833737091547,38.56,99.9499969482422
Albania,ALB,2015,YR2015,11386850129.8411,3952.80253807527,1.60377514987108,38.47,99.9800033569336
Albania,ALB,2016,YR2016,11861199830.8396,4090.371656678,1.55766435847472,39.43,99.8899993896484
Albania,ALB,2017,YR2017,13019689336.6919,4249.80373367726,1.78878607422544,37.07,99.8899993896484
Albania,ALB,2018,YR2018,15156432309.8977,4431.53918098494,1.78273894754715,38.11,100
Albania,ALB,2019,YR2019,15401830754.0773,4543.38652018643,1.69224831964856,40.2,100
Algeria,DZA,1997,YR1997,48177612042.1507,2910.24019680096,2.52510251464995,0.472147668762875,..
Algeria,DZA,1998,YR1998,48187747528.899,3012.80643105038,2.49459743379609,0.54407094201214,..
Algeria,DZA,1999,YR1999,48640653469.3025,3066.03870511702,2.55420114681687,0.51001768957487,..
Algeria,DZA,2000,YR2000,54790392746.1939,3138.23104750589,2.60116932065548,0.43,98.9730987548828
Algeria,DZA,2001,YR2001,54744712814.8676,3188.20727071767,2.52075375184469,0.43,98.9668731689453
Algeria,DZA,2002,YR2002,56760355865.0082,3321.63884944448,2.6055586914062,0.51,98.9530563354492
